id;titulo;pais;ano;episodios;url_admin
862;A Christmas Carol;South Korea;2023;1;http://localhost:5173/admin/series
810;A Familiar Stranger;China;2024;12;http://localhost:5173/admin/series
674;About Love;China;2026;26;http://localhost:5173/admin/series
1167;Adoring;China;2021;1;http://localhost:5173/admin/series
1066;Almost Human;China;2021;1;http://localhost:5173/admin/series
914;Almost Love;China;2023;1;http://localhost:5173/admin/series
746;April, Come She Will;Japan;2025;1;http://localhost:5173/admin/series
843;As Long As We Both Shall Live;Japan;2023;1;http://localhost:5173/admin/series
1218;Better Days;China;2020;1;http://localhost:5173/admin/series
765;Big World;China;2025;1;http://localhost:5173/admin/series
1072;Blackout;Thailand;2021;8;http://localhost:5173/admin/series
717;Blood River;China;2025;38;http://localhost:5173/admin/series
882;Born To Fly;China;2023;1;http://localhost:5173/admin/series
931;Bounty Hunters;China;2023;1;http://localhost:5173/admin/series
716;Champion;South Korea;2025;1;http://localhost:5173/admin/series
82;Cross Fire;China;2020;36;http://localhost:5173/admin/series
928;Dirty Laundry;Thailand;2023;6;http://localhost:5173/admin/series
734;Doom Of Love;Hong Kong;2025;1;http://localhost:5173/admin/series
106;Double Love;China;2022;24;http://localhost:5173/admin/series
1189;Double World;China;2020;1;http://localhost:5173/admin/series
109;Dream Garden;China;2021;16;http://localhost:5173/admin/series
128;Faithful;China;2023;25;http://localhost:5173/admin/series
1084;Glitch!;South Korea;2021;4;http://localhost:5173/admin/series
1112;Hear Me;Taiwan;2021;1;http://localhost:5173/admin/series
1034;Hit And Run Squad;South Korea;2022;1;http://localhost:5173/admin/series
1161;Homestay;Thailand;2021;1;http://localhost:5173/admin/series
951;Honey;Japan;2022;1;http://localhost:5173/admin/series
722;Imagine You and Me;Philippines;2025;1;http://localhost:5173/admin/series
203;Immortal Destiny;China;2024;24;http://localhost:5173/admin/series
871;In Your Dreams;Hong Kong;2023;1;http://localhost:5173/admin/series
890;Intruder;South Korea;2023;1;http://localhost:5173/admin/series
1056;Irresistible;Thailand;2021;22;http://localhost:5173/admin/series
937;Island;South Korea;2022;6;http://localhost:5173/admin/series
216;Kill Lover;China;2025;16;http://localhost:5173/admin/series
1128;Last Sunrise;China;2021;1;http://localhost:5173/admin/series
1159;Love;Taiwan;2021;1;http://localhost:5173/admin/series
1134;Love By Numbers;Thailand;2021;10;http://localhost:5173/admin/series
264;Love Once Again;China;2022;18;http://localhost:5173/admin/series
1031;Love Waits;Thailand;2022;1;http://localhost:5173/admin/series
1193;Matchless Mulan;China;2020;1;http://localhost:5173/admin/series
296;Men In Love;China;2024;40;http://localhost:5173/admin/series
1201;Method;South Korea;2020;1;http://localhost:5173/admin/series
897;Million Dollar Man;Japan;2023;1;http://localhost:5173/admin/series
1068;Min & Max;China;2021;1;http://localhost:5173/admin/series
1132;Mismatched;Hong Kong;2021;6;http://localhost:5173/admin/series
307;Moonlight;China;2021;36;http://localhost:5173/admin/series
636;My CEO Thinks I’m a Robot;Philippines;2026;1;http://localhost:5173/admin/series
1073;My Lockdown Wedding;Philippines;2021;1;http://localhost:5173/admin/series
1033;Once Upon A Time;China;2022;1;http://localhost:5173/admin/series
367;Our Secret;China;2021;24;http://localhost:5173/admin/series
1151;Over Your Dead Body;Japan;2021;1;http://localhost:5173/admin/series
374;Pegasus;China;2024;28;http://localhost:5173/admin/series
1088;Penny Pinchers;South Korea;2021;1;http://localhost:5173/admin/series
1054;Please Enlighten Me;China;2021;1;http://localhost:5173/admin/series
1022;Pretend;Thailand;2022;1;http://localhost:5173/admin/series
844;Quaid-e-Azam Zindabad;China;2023;1;http://localhost:5173/admin/series
839;Red Cliff;China;2023;1;http://localhost:5173/admin/series
398;Reset Life;China;2025;5;http://localhost:5173/admin/series
850;Shaakuntalam;India;2023;1;http://localhost:5173/admin/series
987;Sing Again;Thailand;2022;18;http://localhost:5173/admin/series
770;Single Lady;Thailand;2025;1;http://localhost:5173/admin/series
424;Snowfall;China;2024;24;http://localhost:5173/admin/series
752;Soul Mate;China;2025;1;http://localhost:5173/admin/series
651;Sound of Silence;China;2026;1;http://localhost:5173/admin/series
854;Spellbound;South Korea;2023;1;http://localhost:5173/admin/series
858;Switch;South Korea;2023;1;http://localhost:5173/admin/series
1047;Switch On;Thailand;2021;24;http://localhost:5173/admin/series
875;The Betrayal;Thailand;2023;16;http://localhost:5173/admin/series
471;The Double;China;2024;40;http://localhost:5173/admin/series
671;The Journey Of Legend;China;2026;40;http://localhost:5173/admin/series
1061;The Last Wish;China;2021;1;http://localhost:5173/admin/series
1121;The Night of The Undead;South Korea;2021;1;http://localhost:5173/admin/series
517;The Outsider;China;2023;38;http://localhost:5173/admin/series
1116;The Pool;Thailand;2021;1;http://localhost:5173/admin/series
1184;The Promise;Philippines;2020;1;http://localhost:5173/admin/series
909;The Road Home;China;2023;1;http://localhost:5173/admin/series
540;The Trust;China;2023;30;http://localhost:5173/admin/series
557;Trial Marriage;China;2022;24;http://localhost:5173/admin/series
559;Truth;China;2021;32;http://localhost:5173/admin/series
562;Twilight;China;2023;40;http://localhost:5173/admin/series
566;Unexpected;China;2019;23;http://localhost:5173/admin/series
567;Unforgettable Love;China;2021;24;http://localhost:5173/admin/series
1152;Us and Them;China;2021;1;http://localhost:5173/admin/series
1036;Veteran;South Korea;2022;1;http://localhost:5173/admin/series
757;Viva La Vida;China;2025;1;http://localhost:5173/admin/series
906;Vivah;Thailand;2023;1;http://localhost:5173/admin/series
1139;Voice of Silence;South Korea;2021;1;http://localhost:5173/admin/series
582;What If;China;2024;20;http://localhost:5173/admin/series
610;What’s Left Of You;China;2026;1;http://localhost:5173/admin/series
969;Why Women Cheat;China;2022;1;http://localhost:5173/admin/series
590;Wifes Revenge;China;2022;24;http://localhost:5173/admin/series
